	impact	impact_unit	stressor	factor
244252	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Extraction/production of crude oil - air	2.3e-05
244253	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Fat, edible and non-edible oil extraction - air	2.3e-05
244254	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air	2.3e-05
244255	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air	2.3e-05
244256	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air	2.3e-05
244257	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Flexography and rotogravure in packaging - air	2.3e-05
244258	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Gasoline distribution - service stations - air	2.3e-05
244259	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air	2.3e-05
244260	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air	2.3e-05
244261	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air	2.3e-05
244262	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air	2.3e-05
244263	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air	2.3e-05
244264	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air	2.3e-05
244265	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Industrial paint application, general industry - air	2.3e-05
244266	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air	2.3e-05
244267	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Leather coating - air	2.3e-05
244268	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Manufacture of automobiles - air	2.3e-05
244269	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Mutton and lamb - air	2.3e-05
244270	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Oil refinery - air	2.3e-05
244271	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Organic chemical industry - downstream units - air	2.3e-05
244272	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Organic chemical industry, storage - air	2.3e-05
244273	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Other industrial use of solvents - air	2.3e-05
244274	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Pharmaceutical industry - air	2.3e-05
244275	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Polystyrene processing - air	2.3e-05
244276	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air	2.3e-05
244277	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Pork - air	2.3e-05
244278	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Poultry, dressed - air	2.3e-05
244279	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Printing, offset - air	2.3e-05
244280	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Products incorporating solvents - air	2.3e-05
244281	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Raw sugar - air	2.3e-05
244282	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Rotogravure in publication - air	2.3e-05
244283	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Screen printing - air	2.3e-05
244284	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air	2.3e-05
244285	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Synthetic rubber - air	2.3e-05
244286	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Tyre production - air	2.3e-05
244287	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Vehicle refinishing - air	2.3e-05
244288	ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	kg CFC-11 eq.	NMVOC - non combustion - Wire coating - air	2.3e-05
257783	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	SOx - combustion - air	0.096
257784	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - combustion - air	1.2
257785	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NH3 - combustion - air	0.1
257792	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD_F - combustion - air	1933982792.0
257793	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - combustion - air	3157103.03
257794	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - combustion - air	11.40074339
257795	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - combustion - air	0.82
257798	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - combustion - air	347699.6973
257799	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - combustion - air	145040.5399
257800	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - combustion - air	646.8397982
257801	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - combustion - air	4295.027793
257802	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - combustion - air	6008.157802
257803	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - combustion - air	35032.83874
257804	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - combustion - air	466.517307
257805	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Se - combustion - air	47687.15468
257806	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - combustion - air	104.4419271
257807	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Agglomeration plant - pellets - air	347699.6973
257808	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Agglomeration plant - sinter - air	347699.6973
257809	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Glass production - air	347699.6973
257810	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Production of coke oven coke - air	347699.6973
257811	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Production of gascoke - air	347699.6973
257812	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: basic oxygen furnace - air	347699.6973
257813	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: electric arc furnace - air	347699.6973
257814	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: open hearth furnace - air	347699.6973
257851	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Agglomeration plant - pellets - air	145040.5399
257852	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Agglomeration plant - sinter - air	145040.5399
257853	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Glass production - air	145040.5399
257854	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Nickel, unwrought - air	145040.5399
257855	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Production of coke oven coke - air	145040.5399
257856	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Production of gascoke - air	145040.5399
257857	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Refined copper; unwrought, not alloyed - air	145040.5399
257858	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Refined lead, unwrought - air	145040.5399
257859	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: basic oxygen furnace - air	145040.5399
257860	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: electric arc furnace - air	145040.5399
257861	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: open hearth furnace - air	145040.5399
257862	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	145040.5399
257863	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Zinc, unwrought, not alloyed - air	145040.5399
257864	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - pellets - air	646.8397982
257865	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - sinter - air	646.8397982
257866	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Glass production - air	646.8397982
257867	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Pig iron production, blast furnace - air	646.8397982
257868	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: basic oxygen furnace - air	646.8397982
257869	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: electric arc furnace - air	646.8397982
257870	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: open hearth furnace - air	646.8397982
257871	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - pellets - air	4295.027793
257872	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - sinter - air	4295.027793
257873	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Glass production - air	4295.027793
257874	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Pig iron production, blast furnace - air	4295.027793
257875	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: basic oxygen furnace - air	4295.027793
257876	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: electric arc furnace - air	4295.027793
257877	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: open hearth furnace - air	4295.027793
257878	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - pellets - air	3157103.03
257879	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - sinter - air	3157103.03
257880	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - pellets - air	6008.157802
257881	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - sinter - air	6008.157802
257882	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Glass production - air	6008.157802
257883	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Nickel, unwrought - air	6008.157802
257884	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Pig iron production, blast furnace - air	6008.157802
257885	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of coke oven coke - air	6008.157802
257886	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of gascoke - air	6008.157802
257887	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined copper; unwrought, not alloyed - air	6008.157802
257888	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined lead, unwrought - air	6008.157802
257889	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Secondary aluminium production - air	3157103.03
257890	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: basic oxygen furnace - air	6008.157802
257891	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: electric arc furnace - air	6008.157802
257892	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	6008.157802
257893	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Zinc, unwrought, not alloyed - air	6008.157802
257897	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NH3 - non combustion - N- fertilizer production - air	0.1
257898	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Beef and veal - air	11.40074339
257899	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air	11.40074339
257900	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Decorative paint applicatoin - air	11.40074339
257901	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Degreasing - air	11.40074339
257902	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air	11.40074339
257903	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air	11.40074339
257904	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Dry cleaning - air	11.40074339
257905	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air	11.40074339
257906	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air	11.40074339
257907	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Extraction/production of (natural) gas - air	11.40074339
257908	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Extraction/production of crude oil - air	11.40074339
257909	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Fat, edible and non-edible oil extraction - air	11.40074339
257910	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air	11.40074339
257911	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air	11.40074339
257912	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air	11.40074339
257913	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Flexography and rotogravure in packaging - air	11.40074339
257914	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Gasoline distribution - service stations - air	11.40074339
257915	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air	11.40074339
257916	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air	11.40074339
257917	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air	11.40074339
257918	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air	11.40074339
257919	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air	11.40074339
257920	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air	11.40074339
257921	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Industrial paint application, general industry - air	11.40074339
257922	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air	11.40074339
